objectid,title,creator,date,text_label,description,subject,location,latitude,longitude,source,identifier,type,format,rights,rightsstatement,display_template,parentid,object_location,image_small,image_thumb,ext_link,DLOC permalink,Creator's Nationality,Publisher,Call Number/Accession Number,Credit Line,Item Type,Notes
d05,CARIFESTA '76 IN JAMAICA,Barbara Gloudon,7/1/1976,African-American Tourism,,Carifesta 76;Lorna Goodison;Advertisement;Jamaica,"Kingston, Jamaica",18.001562,-76.771438,ProQuest Women's Magazine Archive II,,Image,image/jpg,,,image,,https://rjkooiker.com/img/d05.jpg,https://rjkooiker.com/img/small/d05_sm.jpg,https://rjkooiker.com/img/thumbs/d05_th.jpg,https://www.proquest.com/magazines/advertisement-carifesta-76-jamaica/docview/1815456854/se-2,,Jamaica,"Essence Communications, Inc.",,,Advertisement,EXTERNAL
d06,Our Ancestral Heritage,Edward Kamau Brathwaite,7/23/1976,Carifesta Publishing,,Carifesta 76;Lorna Goodison;Book;Jamaica,"Kingston, Jamaica",18.001562,-76.771438,"Yale University Library, Z1595 B73 (LC)",,Image,image/jpg,,,image,,https://rjkooiker.com/img/d06.jpg,https://rjkooiker.com/img/small/d06_sm.jpg,https://rjkooiker.com/img/thumbs/d06_th.jpg,https://search.worldcat.org/title/247618533,,Barbados,The Literary Committee of CARIFESTA '76,,,Book,EXTERNAL
d07,Carifesta Forum,John Hearne,7/23/1976,Carifesta Publishing,,Carifesta 76;Lorna Goodison;Book;Jamaica,"Kingston, Jamaica",18.001562,-76.771438,"Yale University Library, PR9217.5 C37 (LC)",,Image,image/jpg,,,image,,https://rjkooiker.com/img/d07.jpg,https://rjkooiker.com/img/small/d07_sm.jpg,https://rjkooiker.com/img/thumbs/d07_th.jpg,https://search.worldcat.org/title/3033664?oclcNum=3033664,,Jamaica,The Literary Committee of CARIFESTA '76,,,Book,EXTERNAL
e01,Carifesta Then & Carifesta 10 (Part IV),Petamber Persaud,8/3/2008,Guyana Drums,,Carifesta 72;Syble Douglas;Poetry;Book;Guyana,"Georgetown, Guyana",6.821438,-58.151563,Digital Library of the Caribbean,,Image,image/jpg,,,image,,https://rjkooiker.com/img/e01.jpg,https://rjkooiker.com/img/small/e01_sm.jpg,https://rjkooiker.com/img/thumbs/e01_th.jpg,https://dloc.com/CA00100607/00001/citation,,Guyana,Sunday Chronicle,,,Newspaper,
e02,Guyana Drums - Cover,Syble Douglas et. al.,8/25/1972,Guyana Drums - Cover,,Carifesta 72;Syble Douglas;Poetry;Book;Guyana,"Georgetown, Guyana",6.821438,-58.151563,"Errol G. Hill Collection, Dartmouth College; PR9205.6 .G89 1972",,Image,image/jpg,,,compound_object,,https://rjkooiker.com/img/e02.jpg,https://rjkooiker.com/img/small/e02_sm.jpg,https://rjkooiker.com/img/thumbs/e02_th.jpg,https://search.library.dartmouth.edu/permalink/01DCL_INST/16rgcn8/alma991004303189705706,,Guyana,Self-Published,,,Book,EXTERNAL
e03,Guyana Drums - Foreword,Syble Douglas et. al.,8/25/1972,Guyana Drums - Foreword,,Carifesta 72;Syble Douglas;Poetry;Book;Guyana,"Georgetown, Guyana",6.821438,-58.151563,"Errol G. Hill Collection, Dartmouth College; PR9205.6 .G89 1972",,Image,image/jpg,,,image,e02,https://rjkooiker.com/img/e03.jpg,https://rjkooiker.com/img/small/e03_sm.jpg,https://rjkooiker.com/img/thumbs/e03_th.jpg,https://search.library.dartmouth.edu/permalink/01DCL_INST/16rgcn8/alma991004303189705706,,Guyana,Self-Published,,,Book,EXTERNAL
e04,"Guyana Drums - Poem - ""Guyana Drums""",Syble Douglas et. al.,8/25/1972,Guyana Drums - Poem,,Carifesta 72;Syble Douglas;Poetry;Book;Guyana,"Georgetown, Guyana",6.821438,-58.151563,"Errol G. Hill Collection, Dartmouth College; PR9205.6 .G89 1972",,Image,image/jpg,,,image,e02,https://rjkooiker.com/img/e04.jpg,https://rjkooiker.com/img/small/e04_sm.jpg,https://rjkooiker.com/img/thumbs/e04_th.jpg,https://search.library.dartmouth.edu/permalink/01DCL_INST/16rgcn8/alma991004303189705706,,Guyana,Self-Published,,,Book,EXTERNAL
e05,Guyana Drums - Bio - Syble Douglas,Syble Douglas et. al.,8/25/1972,Guyana Drums - Bio - Syble Douglas,,Carifesta 72;Syble Douglas;Poetry;Book;Guyana,"Georgetown, Guyana",6.821438,-58.151563,"Errol G. Hill Collection, Dartmouth College; PR9205.6 .G89 1972",,Image,image/jpg,,,image,e02,https://rjkooiker.com/img/e05.jpg,https://rjkooiker.com/img/small/e05_sm.jpg,https://rjkooiker.com/img/thumbs/e05_th.jpg,https://search.library.dartmouth.edu/permalink/01DCL_INST/16rgcn8/alma991004303189705706,,Guyana,Self-Published,,,Book,
f01,LAVINIA - THE SHEER JOY OF DANCE AND LIFE,n/a,9/3/1972,Lavinia Williams - Newspaper Photograph,,Carifesta 72;Lavinia Williams;Dance;Guyana,"Georgetown, Guyana",6.821438,-58.151563,Digital Library of the Caribbean,,Image,image/jpg,,,image,,https://rjkooiker.com/img/f01.jpg,https://rjkooiker.com/img/small/f01_sm.jpg,https://rjkooiker.com/img/thumbs/f01_th.jpg,,https://dloc.com/CA00199918/00001/citation,Guyana,Sunday Graphic,,,Newspaper,
f02,"CARIFESTA '72 ; AUGUST 25 - SEPTEMBER 15 ; GUYANA, SOUTH AMERICA",Carifesta Secretariat,9/15/1972,Lavinia Williams - Collage,,Carifesta 72;Lavinia Williams;Dance;Guyana,"Georgetown, Guyana",6.821438,-58.151563,Digital Library of the Caribbean,,Image,image/jpg,,,image,,https://rjkooiker.com/img/f02.jpg,https://rjkooiker.com/img/small/f02_sm.jpg,https://rjkooiker.com/img/thumbs/f02_th.jpg,,https://dloc.com/CA03599015/00001/citation,Guyana,Carifesta Secretariat,,,Brochure,
f03,LAVINIA WANTS TO TEACH US VOODO DANCING,n/a,9/11/1972,Lavinia Williams - Newspaper Article (2),,Carifesta 72;Lavinia Williams;Dance;Guyana,"Georgetown, Guyana",6.821438,-58.151563,Digital Library of the Caribbean,,Image,image/jpg,,,image,,https://rjkooiker.com/img/f03.jpg,https://rjkooiker.com/img/small/f03_sm.jpg,https://rjkooiker.com/img/thumbs/f03_th.jpg,,https://dloc.com/CA00199967/00001/images,Guyana,Guyana Graphic,,,Newspaper,
